Text,Category
Kweenie of da gij al es goed hebt stilgestaan bij het leven da ge de afgelopen jaren hebt geleid.,neutral
Santé.,joy
Ja jongens. Dees is nie gezond ze. Pfff. Dees is nie gewoon. Na zen ik echt serieus aan het stressen hoor.,fear
"Ik had de vorige keer ook al zoiets van: nie me mij, want how… Wa was het dan? Vijftien maanden daje dan weggebleven was na je elektronisch toezicht. Ma goed ja, inderdaad…",anger
"Tis wat het is. Tis ook een belangrijke job eh. Als kik zo woog, khad uiteindelijk nog wel vijf kilo. Das fiftig dollar. Voor die mensen veel geld ze.",neutral
Ideaal. Nu gaak minne pyjama pakken.,joy
"Ik was wel gechoqueerd. Ja. Da ga zo buiten alle grenzen die dat er, die da ik ken. Das nie meer normaal.",fear
"<b> Oh, amai. Schol eh! </b> - Op wa klinken we? - Op een hele leuke reis.",joy
"Het is zelfs nie om jullie te choqueren dat ik jullie naar hier breng. Het is gewoon echt omdat het, omdat het hier zo is.",neutral
"Ja das inderdaad iets da jullie nog nie hebben gezien. Daarom ben ik blij da ge het, da ge het wel, da ge het nu wel es zie. Da ik ook over andere dingen bekommerd kan zijn dan materialistische dingen.",joy
Dat da… ja dat da een beetje een soort zelfbescherming is. Dak daar misschien anders zelf euh… te veel mee ga… te veel aan ga denken en te… te ongelukkig van ga worden.,sadness
Ja gij waard ook heel blij als ge thuis waart.,joy
"Alé ma, hou de moed erin. Salut.",love
Geen buren. Geen last van iemand.,neutral
Kmoet er nog altijd mee lachen omdat ik het euh nie echt besef. Euhm… Ma het doet zeker wel wa me mij. Tis euh bizar om te weten da ja ga trouwen.,joy
"Een goeie danser, das toch wijs eh.",joy
We hebben nog redelijk  gelachen tijdens diene dans ook. Da was echt plezant daje zo… Da was een serieus moment ma ook dawet zo beetje konden downplayen zo en ja kvond da wel geweldig da we da kunnen doen.,joy
"Das het eerste wa kik dan zeg eh. Ge moet es weten vanwaar dat da komt. Ma twas ook, alé, ik moet eerlijk zijn, wij hebben dan die nachtdienst gedaan. Ik was bekaf.",anger
Lang geleden da we hier wel samen hebben gegeten eh.,neutral
Ik vind et een stomme methode ze. Een bikke modder mixen vinnik het.,anger
"Heeey. Sorry eh. Ik heb net knoflookteentjes vastgehad, dus nu heb je een knoflookhandje.",joy
"Ge moest da bewaren voor hem en nu istie toevallig vrij. - Normaal istie vrij vandaag, ja. - <b> Doeme toch. Da moe wel passen eh? </b>",anger
Ge ziet er goe uit. Hallo.,joy
"Alster een slachtoffer is, ist nie gemakkelijk ja. - <b> Ik woonde der al een paar jaar bij ook eh, bij het slachtoffer dus… alé zij bij mij dus… </b>",sadness
"Nee, sorry ik word daar zo kwaad van. Ik word daar echt boos van.",anger
Het komt nu  gewoon efkes allemaal heel hard binnen.,sadness
Alé hij verdient hier wel goe eh.,joy
"Wij hopen beide voor Lenny dat het een lief meisjen is. Met een goed karakter natuurlijk, das heel belangrijk. Hij is eigenlijk al heel lang op zoek en ja… Misschien lukt het nu voor hem eh.",joy
"We hebben al zo veel gedaan op zo’n korte tijd. We zijn zo’n hechte groep geworden, vind ik. We zijn nog geen week weg, of net een week weg. Dus euh, ja. Zot.",joy
"Maar nu, als ik u ga terug laten gaan naar uw cel… Ik ga nie beweren da je kalm kan zijn ma der gaan toch geen ongelukken gebeuren eh?",fear
Das ietske da los ligt om omdak nie meer weet hoe dak het erin moe steken.,neutral
Sinds net voor Kerstmis eigenlijk zijn wij nie meer getrouwd en da is even een heel moeilijke periode geweest vo mij.,sadness
Toch ongelooflijk. Der durft hier geen een zeggen aan een gedetineerde datn moe zn haar knippen.,anger
