Tweet ID,text,Category
['914793795094446082'],""" Maandagmorgen en extra druk😣Dat is nu voordeel van niet meer werken op maandag al dit nieuws lezen!""",anger
['902122434714841090'],""" Echt...zweet en shag..en dat een hele dag😡Je zal ermee op kantoor zitten😝""",anger
['864400774251589632'],"""   D66Pechtold zei 1e BELANGRIJKSTE!poging😂dream on Pechtold gelul id ruimte! PVV id 2e grtste!wat e kleuterklasje.pesten uitsluiten z nie 2017""",anger
['894957660889591810'],""" heeft mijn pakket om 17.02 bezorgd alleen niet bij mij😡leuk vakantiekrachten nu moet ik wachten!waar is mijn pakje""",anger
['862334234706530304'],"""https://t.co/GTCqMzQXkp Ik moest lachen😂De reden dat ik niks met Maduro had in,1 bericht #Amsterdamsearrogantie#Nikslatenzien #bestemaarweer""",anger
['929448896773976064'],""" ZWARTgallig🤔er zijn ook nog andere kleuren hoor.
paars groen blauw""",anger
['931421806636032001'],""" Sterkte😱normaal een thuiswerkdag op vrijdag maar vandaag een telco in Utrecht🤔weer zo’n dag dat een trein uitvalt en het zeer koud is op het station😱nu weer warm in een trein""",anger
['921705689956913152'],"""Duizenden afgewezen asielzoekers toch in Nederland https://t.co/Gk3P5MSeeW! Ja Rutte😁justitie&amp;immigratiedienst  waar???""",anger
['826851690905292815'],"""Voor die duizenden😏mensen op het #malieveld ook dit is #Islam https://t.co/Opv2mwnoGF""",anger
['898939776258256897'],"""     U😂beiden snapt dan niks van 'gevoel'. -- niks 'ratio' - het gaat juist om die 'grens' in dat gevoelsgebied op het gebied van omgang en sex.""",anger
['918901386619867136'],""" Bij mijn kleinzoon in groep 3 moeten ze ook zo verkleed komen😳Wie bedenkt zoiets!?🤢""",anger
['820762945051394052'],""" PVV'ers zijn een ras😃dit is discriminatie""",anger
['824777500299517953'],""" waarvoor moeten de mensen kijken?? Getuigenis of het hoofddoek debat. Ik zal wel naar de herhalingen zien op tv😉Jongeheer""",anger
['907829427291258880'],"""Belgen hebben 70 miljard euro(=17,4%van ons bnp,mondiaal gemiddelde:9,8%) in belastingparadijzen staan😠https://t.co/r09CKLENdd via @demorgen""",anger
['899918369738158080'],"""RT  Sony perst LP's😧vreemde hype😰alles wordt digitaal opgenomen😨Spotify is voor mij #1betere weergave door plaatsing speakers,…""",anger
['854445180140875776'],"""Wat een doffe ellende qua arbitrage bij #reabay😤Twee buitenspel goals, onterecht rood #Vidal en sparen van #Casemiro Asap videoscheids plz!!""",anger
['875388674330042368'],"""  Dan vraag je niet, hoe oud is Corne😡Maar hoe jong is Corne eigenlijk? klinkt al stukke vriendelijker 😘""",anger
['846630910221012993'],"""  zodat ze geen valse hoop krijgen dat ze hun geld eerder krijgen😡vooral bij mensen die het echt nodig hebben""",anger
['895186557111590912'],"""  Dat begrijp ik niet🤔De CU is geen partij van steile gereformeerden. D66 is eerder dogmatisch atheïstisch en wil dat dwingend opleggen""",anger
['885903880525099009'],""" Wat eennslechte voorspelling weer😡Om 4uur gaf app nog aan dat het vanavond droog zou zijn en nu weer hoosbuien 😡""",anger
['875605366540611584'],"""  Openlijk commentaar maken. Ik wilde gewoon onvoorbereid zijn😗Ik zit nog op het vliegveld he dus we vragen aan een local wel wat er is🤓""",anger
